ts_ms,seq,buttons,x,y,gx,gy,gz
926416896,1,0,1,0,1024,-896,484
972947456,1,0,5,0,247,13,18
1018822656,1,0,9,0,772,-564,-391
1042415616,1,0,13,0,768,-689,-52
1117782016,1,0,17,0,1536,-1293,-315
1233125376,1,0,21,0,1021,-646,91
1342570496,1,0,25,0,765,-324,118
1417936896,1,0,29,0,764,-398,152
1440874496,1,0,33,0,762,-402,136
1464467456,1,0,37,0,775,-502,-107
1504444416,1,0,41,0,516,-490,-265
1528037376,1,0,45,0,774,-602,-84
1637482496,1,0,49,0,776,-509,-492
1678114816,1,0,53,0,1512,-336,-120
1741684736,1,0,57,0,777,-451,-48
84017152,0,0,64,0,763,-418,-57
814088192,0,0,1,0,765,-358,87
848822272,0,0,5,0,768,-688,-69
871759872,0,0,9,0,763,-403,74
1079508992,0,0,13,0,775,-504,276
1401946112,0,0,17,0,1272,-688,25
1431437312,0,0,21,0,764,-490,-168
1466171392,0,0,25,0,1018,-605,46
1523843072,0,0,29,0,517,-346,10
1552678912,0,0,33,0,516,-436,33
1633943552,0,0,37,0,518,-300,-22
1795162112,0,0,41,0,1020,-642,109
1962278912,0,0,45,0,1273,-643,74
2031747072,0,0,49,0,7,-30,-79
2193620992,0,0,53,0,515,-508,-42
3518103552,0,0,57,0,3,-166,38
3558080512,0,0,61,0,250,47,-48
3598712832,0,0,65,0,252,-34,-56
3651141632,0,0,69,0,1800,-1226,-104
3679977472,0,0,73,0,238,-87,-1495
3714711552,0,0,77,0,1274,-660,-313
3761242112,0,0,81,0,768,-781,-87
3888381952,0,0,85,0,516,-436,203
3911319552,0,0,89,0,2037,-1278,-1756
3940155392,0,0,93,0,765,-386,-303
3969646592,0,0,97,0,517,-428,-11
4027318272,0,0,101,0,515,-444,-71
319553536,1,0,105,0,764,-440,-3
481427456,1,0,109,0,771,-688,32
948043776,1,0,113,0,515,-430,86
1011613696,1,0,117,0,765,-459,-85
1046347776,1,0,121,0,763,-354,24
1086980096,1,0,125,0,259,-302,-53
1127612416,1,0,-127,0,764,-508,-190
1168244736,1,0,-123,0,1012,-486,22
1259995136,1,0,-119,0,515,-452,-343
1341259776,1,0,-115,0,762,-155,-337
33619968,0,0,75,0,3615,-2008,255
56599973,0,0,79,0,188,-2347,-1170
80192933,0,0,83,0,-3367,1763,-1806
103130533,0,0,87,0,-2513,573,647
126723493,0,0,91,0,1436,-1679,258
149661093,0,0,95,0,4514,-2683,765
173254053,0,0,99,0,1865,472,185
196191653,0,0,103,0,194,-274,602
219784613,0,0,107,0,1892,-1711,701
242722213,0,0,111,0,3128,-732,982
266315173,0,0,115,0,412,351,-330
289252773,0,0,119,0,2040,-1220,1830
312845733,0,0,123,0,7524,-6363,-1672
335783333,0,0,127,0,-6718,3403,2923
359376293,0,0,-125,0,5334,-2885,-2070
382313893,0,0,-121,0,-668,1189,-212
405906853,0,0,-117,0,88,-1353,-538
434742693,0,0,-113,0,-1041,548,47
464233893,0,0,-109,1,-2024,989,3461
487171493,0,0,-105,0,4651,-2611,1535
510764453,0,0,-101,0,-2585,1513,-1666
533702053,0,0,-97,1,1030,-748,66
557295013,0,0,-93,0,-2404,3181,-4594
580232613,0,0,-89,0,-2079,936,282
603825573,0,0,-85,0,356,-615,4343
626763173,0,0,-81,0,-260,588,-3029
650356133,0,0,-77,0,7708,-5519,3210
673293733,0,0,-73,0,5165,-2179,7980
696886693,0,0,-69,0,-8611,5800,-12320
719824293,0,0,-65,0,-2062,1423,596
743417253,0,0,-61,0,100,257,903
766354853,0,0,-57,0,3609,-2129,395
789947813,0,0,-53,0,-98,-765,-1390
812885413,0,0,-49,0,2041,-1405,449
836478373,0,0,-45,0,-760,452,-150
859415973,0,0,-41,0,210,60,-1471
883008933,0,0,-37,0,-8245,5110,-1914
905946533,0,0,-33,0,-3064,2262,-2027
929539493,0,0,-29,0,4964,-4106,263
952477093,0,0,-25,0,3284,-1249,-2796
976070053,0,0,-21,0,-1368,2736,-1523
999007653,0,0,-17,0,-8134,4561,-882
1022600613,0,0,-13,0,10332,-8658,-2148
